lat,lon,alt,temp,dist,vel
-24,177118;-47,020836;102,000000;204;5,201315;18,724733
-24,177116;-47,020782;102,000000;205;5,547767;19,971962
-24,177122;-47,020733;101,000000;206;4,910588;17,678118
-24,177134;-47,020645;101,000000;207;9,081173;16,346111
-24,177135;-47,020611;101,000000;209;3,470990;12,495563
-24,177147;-47,020535;98,000000;210;7,738856;9,286627
-24,177141;-47,020508;97,000000;213;2,829859;10,187493
-24,177128;-47,020435;97,000000;214;7,434382;13,381888
-24,177118;-47,020397;96,000000;216;3,979390;14,325806
-24,177097;-47,020313;95,000000;217;8,958216;16,124788
-24,177090;-47,020271;94,000000;219;4,227715;15,219772
-24,177078;-47,020180;94,000000;220;9,450036;17,010065
-24,177076;-47,020134;92,000000;222;4,508583;16,230898
-24,177074;-47,020046;92,000000;223;9,011394;16,220509
-24,177074;-47,020012;91,000000;225;3,465834;12,477001
-24,177073;-47,019939;89,000000;226;7,280026;13,104048
-24,177071;-47,019897;90,000000;228;4,520467;16,273680
-24,177055;-47,019821;90,000000;229;7,812901;14,063223
-24,177036;-47,019787;83,000000;231;4,048609;14,574993
-24,176992;-47,019726;82,000000;232;7,839423;14,110962
-24,176970;-47,019688;82,000000;234;4,648293;16,733854
-24,176933;-47,019623;82,000000;235;7,698371;27,714138
-24,176897;-47,019547;79,000000;236;8,604056;30,974604
-24,176874;-47,019470;77,000000;237;8,401934;30,246962
-24,176867;-47,019390;77,000000;238;8,006715;28,824173
-24,176859;-47,019306;76,000000;239;8,715341;31,375227
-24,176851;-47,019218;76,000000;240;9,041863;32,550709
-24,176844;-47,019127;76,000000;241;9,059798;32,615273
-24,176830;-47,019035;76,000000;242;9,450036;34,020130
-24,176815;-47,018963;76,000000;243;7,475510;26,911837
-24,176807;-47,018890;75,000000;244;7,682561;27,657221
-24,176821;-47,018822;75,000000;245;7,095515;25,543854
-24,176846;-47,018761;75,000000;246;6,857680;24,687649
-24,176876;-47,018696;76,000000;247;7,333650;26,401138
-24,176903;-47,018646;72,000000;248;5,724992;20,609970
-24,176931;-47,018604;72,000000;249;5,264188;18,951077
-24,176960;-47,018562;72,000000;250;5,542889;19,954399
-24,176983;-47,018513;71,000000;251;5,443599;19,596956
-24,177010;-47,018456;71,000000;252;6,628324;23,861967
-24,177036;-47,018402;70,000000;253;6,233616;22,441017
-24,177069;-47,018345;72,000000;254;6,615479;23,815725
-24,177099;-47,018288;71,000000;255;6,810861;24,519098
-24,177135;-47,018223;71,000000;256;7,697786;27,712029
-24,177176;-47,018150;72,000000;257;8,586604;30,911776
-24,177212;-47,018082;71,000000;258;7,996027;28,785698
-24,177246;-47,018013;71,000000;259;8,208590;29,550922
-24,177280;-47,017944;71,000000;260;7,902988;28,450758
-24,177313;-47,017876;71,000000;261;7,813478;28,128523
-24,177343;-47,017811;72,000000;262;7,418618;26,707024
-24,177374;-47,017738;72,000000;263;8,039871;28,943537
-24,177402;-47,017681;73,000000;264;6,717539;24,183142
-24,177431;-47,017632;74,000000;265;5,827633;20,979481
-24,177460;-47,017582;74,000000;266;6,020924;21,675325
-24,177488;-47,017536;73,000000;267;5,542103;19,951571
-24,177525;-47,017483;74,000000;268;6,829372;24,585739
-24,177561;-47,017437;75,000000;269;6,016454;21,659235
-24,177603;-47,017406;77,000000;270;5,681188;20,452276
-24,177650;-47,017342;77,000000;271;8,463351;15,234033
-24,177664;-47,017300;77,000000;273;4,427717;15,939782
-24,177687;-47,017250;77,000000;274;5,754418;20,715906
-24,177717;-47,017200;78,000000;275;5,934964;21,365871
-24,177755;-47,017147;80,000000;276;6,942717;24,993780
-24,177799;-47,017097;81,000000;277;7,169499;25,810198
-24,177841;-47,017056;81,000000;278;6,311941;22,722988
-24,177883;-47,017021;82,000000;279;5,726168;20,614204
-24,177954;-47,016972;83,000000;280;9,336288;16,805319
-24,177986;-47,016956;83,000000;282;4,001949;14,407018
-24,178057;-47,016945;86,000000;283;7,855666;9,426800
-24,178078;-47,016937;86,000000;286;2,505271;9,018975
-24,178146;-47,016945;87,000000;287;7,667875;9,201449
-24,178167;-47,016945;86,000000;290;2,469075;8,888671
-24,178247;-47,016926;87,000000;291;9,165699;8,249129
-24,178257;-47,016922;86,000000;295;1,009611;3,634601
-24,178337;-47,016911;85,000000;296;8,986859;6,470539
-24,178392;-47,016903;84,000000;301;6,353262;22,871742
-24,178469;-47,016899;83,000000;302;8,364229;30,111225
-24,178555;-47,016891;84,000000;303;9,521353;34,276871
-24,178633;-47,016880;86,000000;304;8,798292;31,673851
-24,178715;-47,016869;86,000000;305;9,221593;33,197735
-24,178789;-47,016850;87,000000;306;8,534988;30,725958
-24,178864;-47,016823;86,000000;307;8,624330;31,047586
-24,178930;-47,016808;87,000000;308;7,791539;28,049540
-24,178989;-47,016796;86,000000;309;6,540696;23,546507
-24,179049;-47,016785;86,000000;310;6,728247;24,221689
-24,179108;-47,016781;85,000000;311;6,466514;23,279449
-24,179155;-47,016773;86,000000;312;5,418693;19,507296
-24,179201;-47,016750;83,000000;313;5,533367;19,920120
-24,179256;-47,016739;83,000000;314;6,418901;23,108044
-24,179325;-47,016731;83,000000;315;7,628947;27,464209
-24,179384;-47,016739;82,000000;316;6,495039;23,382141
-24,179447;-47,016754;82,000000;317;7,237703;26,055733
-24,179501;-47,016735;76,000000;318;6,245310;22,483116
-24,179539;-47,016716;73,000000;319;4,699714;16,918972
-24,179611;-47,016724;75,000000;320;8,006791;9,608150
-24,179634;-47,016739;77,000000;323;2,998659;10,795173
-24,179710;-47,016739;77,000000;324;8,356661;10,027993
-24,179752;-47,016720;76,000000;327;5,054474;18,196106
-24,179802;-47,016693;73,000000;328;6,166909;22,200872
-24,179859;-47,016670;72,000000;329;6,720224;24,192806
-24,179926;-47,016659;72,000000;330;7,667855;27,604277
-24,179993;-47,016659;71,000000;331;7,407061;26,665419
-24,180059;-47,016666;71,000000;332;7,439233;26,781239
-24,180126;-47,016678;71,000000;333;7,535584;27,128103
-24,180193;-47,016689;72,000000;334;7,479752;26,927105
-24,180256;-47,016693;72,000000;335;7,035528;25,327902
-24,180323;-47,016689;72,000000;336;7,415557;26,696007
-24,180391;-47,016685;71,000000;337;7,605882;27,381174
-24,180468;-47,016678;71,000000;338;8,575026;30,870092
-24,180536;-47,016678;71,000000;339;7,596964;27,349072
-24,180609;-47,016678;71,000000;340;7,976812;28,716524
-24,180679;-47,016678;71,000000;341;7,976812;28,716524
-24,180754;-47,016685;70,000000;342;8,196514;29,507450
-24,180830;-47,016682;68,000000;343;8,554039;30,794540
-24,180906;-47,016685;68,000000;344;8,553967;30,794283
-24,180983;-47,016689;68,000000;345;8,363672;30,109221
-24,181063;-47,016693;68,000000;346;8,932997;32,158787
-24,181145;-47,016697;68,000000;347;9,123279;32,843803
-24,181211;-47,016701;67,000000;348;7,414970;26,693892
-24,181278;-47,016708;67,000000;349;7,628356;27,462080
-24,181345;-47,016716;67,000000;350;7,479128;26,924862
-24,181398;-47,016720;68,000000;351;5,897620;21,231432
-24,181456;-47,016701;65,000000;352;6,603314;23,771933
-24,181519;-47,016666;63,000000;353;7,834879;28,205564
-24,181580;-47,016636;61,000000;354;7,514694;27,052898
-24,181641;-47,016598;58,000000;355;7,828067;28,181040
-24,181698;-47,016563;57,000000;356;7,162578;25,785282
-24,181755;-47,016525;56,000000;357;7,499017;26,996460
-24,181814;-47,016483;54,000000;358;7,680273;27,648981
-24,181873;-47,016438;52,000000;359;8,228962;29,624264
-24,181934;-47,016392;51,000000;360;8,187158;29,473768
-24,181993;-47,016350;50,000000;361;7,873284;28,343824
-24,182055;-47,016315;50,000000;362;7,665503;27,595810
-24,182110;-47,016300;50,000000;363;6,418901;23,108044
-24,182173;-47,016300;50,000000;364;6,837268;24,614164
-24,182230;-47,016293;50,000000;365;6,494321;23,379557
-24,182293;-47,016300;50,000000;366;7,061117;25,420021
-24,182346;-47,016312;46,000000;367;5,979248;21,525291
-24,182407;-47,016319;45,000000;368;6,915972;24,897501
-24,182482;-47,016331;45,000000;369;8,232722;29,637800
-24,182558;-47,016327;45,000000;370;8,553967;30,794283
-24,182638;-47,016323;46,000000;371;8,933519;32,160671
-24,182722;-47,016315;48,000000;372;9,364305;33,711498
-24,182795;-47,016300;48,000000;373;8,284044;29,822559
-24,182861;-47,016277;47,000000;374;7,794432;28,059954
-24,182917;-47,016266;48,000000;375;6,166712;22,200163
-24,182964;-47,016254;48,000000;376;5,419497;19,510189
-24,183014;-47,016247;48,000000;377;5,605175;20,178631
-24,183065;-47,016243;48,000000;378;5,708791;20,551649
-24,183111;-47,016239;49,000000;379;5,140275;18,504992
-24,183195;-47,016258;49,000000;380;9,535533;17,163960
-24,183229;-47,016273;49,000000;382;4,043421;14,556316
-24,183304;-47,016296;45,000000;383;8,701624;10,441949
-24,183325;-47,016296;44,000000;386;2,279156;8,204962
-24,183390;-47,016270;45,000000;387;7,731121;9,277345
-24,183414;-47,016243;46,000000;390;3,974855;14,309480
-24,183462;-47,016182;47,000000;391;8,196514;14,753725
-24,183489;-47,016144;46,000000;393;4,757621;17,127438
-24,183527;-47,016068;48,000000;394;8,693118;15,647613
-24,183542;-47,016026;48,000000;396;4,494425;16,179930
-24,183573;-47,015949;49,000000;397;8,671774;15,609193
-24,183588;-47,015911;49,000000;399;4,177251;15,038103
-24,183603;-47,015873;48,000000;400;4,177287;15,038234
-24,183622;-47,015816;48,000000;401;6,250206;22,500742
-24,183640;-47,015751;49,000000;402;6,851783;24,666418
-24,183657;-47,015678;49,000000;403;7,520011;27,072041
-24,183668;-47,015602;48,000000;404;7,738116;27,857218
-24,183676;-47,015518;47,000000;405;8,714823;31,373362
-24,183680;-47,015446;47,000000;406;7,286752;26,232307
-24,183681;-47,015366;45,000000;407;8,318879;29,947966
-24,183685;-47,015285;44,000000;408;7,978527;28,722698
-24,183693;-47,015205;43,000000;409;8,370695;30,134502
-24,183697;-47,015125;43,000000;410;7,979073;28,724663
-24,183704;-47,015041;43,000000;411;8,695642;31,304310
-24,183716;-47,014954;42,000000;412;8,763837;31,549812
-24,183722;-47,014870;43,000000;413;8,681647;31,253931
-24,183733;-47,014790;42,000000;414;8,079610;29,086596
-24,183739;-47,014717;42,000000;415;7,644298;27,519472
-24,183743;-47,014648;41,000000;416;6,953683;25,033258
-24,183743;-47,014587;41,000000;417;6,237207;22,453945
-24,183739;-47,014519;40,000000;418;6,953683;25,033258
-24,183737;-47,014465;41,000000;419;5,202182;18,727854
-24,183737;-47,014408;41,000000;420;5,891475;21,209311
-24,183739;-47,014355;40,000000;421;5,547795;19,972061
-24,183750;-47,014259;41,000000;422;9,793085;17,627554
-24,183750;-47,014217;41,000000;424;4,157776;14,967995
-24,183725;-47,014141;39,000000;425;8,073525;14,532346
-24,183710;-47,014099;39,000000;427;4,818798;17,347673
-24,183683;-47,014008;40,000000;428;9,508084;17,114552
-24,183668;-47,013966;38,000000;430;4,817988;17,344759
-24,183643;-47,013882;38,000000;431;8,731346;15,716423
-24,183628;-47,013847;37,000000;433;3,863256;13,907722
-24,183615;-47,013763;38,000000;434;8,795677;7,916110
-24,183615;-47,013748;38,000000;438;1,389175;5,001030
-24,183603;-47,013664;39,000000;439;8,764866;4,507645
-24,183601;-47,013649;39,000000;446;1,398878;5,035962
-24,183592;-47,013557;36,000000;447;9,425339;8,482805
-24,183592;-47,013531;37,000000;451;2,771906;9,978861
-24,183598;-47,013474;37,000000;452;5,939495;3,563697
-24,183599;-47,013477;37,000000;458;0,402890;1,450404
-24,183613;-47,013466;39,000000;459;1,839264;0,367853
-24,183613;-47,013462;40,000000;477;0,342835;1,234206
-24,183607;-47,013374;40,000000;478;9,041365;10,849638
-24,183601;-47,013325;40,000000;481;4,883857;17,581884
-24,183592;-47,013275;40,000000;482;5,321265;19,156555
-24,183578;-47,013222;40,000000;483;5,365146;19,314524
-24,183546;-47,013134;42,000000;484;9,705259;17,469467
-24,183527;-47,013096;41,000000;486;4,439955;15,983837
-24,183487;-47,013027;40,000000;487;8,192112;14,745802
-24,183466;-47,012989;40,000000;489;4,741451;17,069223
-24,183447;-47,012951;40,000000;490;4,346524;15,647488
-24,183416;-47,012897;40,000000;491;6,221283;22,396618
-24,183392;-47,012840;40,000000;492;6,542741;23,553867
-24,183363;-47,012775;39,000000;493;7,332420;26,396711
-24,183336;-47,012711;39,000000;494;7,173879;25,825964
-24,183310;-47,012646;39,000000;495;7,251396;26,105024
-24,183287;-47,012577;39,000000;496;7,356955;26,485039
-24,183268;-47,012508;38,000000;497;7,238348;26,058052
-24,183249;-47,012440;37,000000;498;7,295431;26,263550
-24,183229;-47,012371;37,000000;499;7,570805;27,254896
-24,183210;-47,012299;37,000000;500;7,570209;27,252752
-24,183191;-47,012234;36,000000;501;6,907491;24,866968
-24,183174;-47,012161;36,000000;502;7,521210;27,076357
-24,183163;-47,012096;36,000000;503;6,716846;24,180643
-24,183155;-47,012032;36,000000;504;6,626964;23,857069
-24,183147;-47,011971;36,000000;505;6,308369;22,710127
-24,183138;-47,011906;36,000000;506;6,651412;23,945084
-24,183128;-47,011848;37,000000;507;5,999944;21,599798
-24,183121;-47,011787;36,000000;508;5,939521;21,382275
-24,183117;-47,011723;35,000000;509;6,608590;23,790924
-24,183111;-47,011658;35,000000;510;6,607885;23,788387
-24,183109;-47,011589;34,000000;511;7,279344;26,205639
-24,183111;-47,011520;34,000000;512;6,932880;24,958370
-24,183111;-47,011440;33,000000;513;7,970046;28,692163
-24,183111;-47,011368;32,000000;514;7,276866;26,196718
-24,183111;-47,011295;30,000000;515;7,623705;27,445339
-24,183111;-47,011211;30,000000;516;8,316638;29,939898
-24,183113;-47,011127;29,000000;517;8,665011;31,194040
-24,183119;-47,011044;28,000000;518;8,335609;30,008194
-24,183123;-47,010963;28,000000;519;8,336132;30,010075
-24,183130;-47,010887;28,000000;520;7,661384;27,580982
-24,183140;-47,010803;27,000000;521;8,737042;31,453352
-24,183146;-47,010723;27,000000;522;7,989803;28,763290
-24,183149;-47,010651;27,000000;523;7,286133;26,230080
-24,183161;-47,010582;27,000000;524;7,056006;25,401623
-24,183165;-47,010521;25,000000;525;6,249582;22,498495
-24,183170;-47,010460;24,000000;526;6,284044;22,622559
-24,183180;-47,010387;23,000000;527;7,338566;26,418839
-24,183182;-47,010323;24,000000;528;6,586721;23,712196
-24,183186;-47,010258;23,000000;529;6,608590;23,790924
-24,183191;-47,010193;22,000000;530;6,608590;23,790924
-24,183195;-47,010124;22,000000;531;7,286752;26,232307
-24,183203;-47,010052;21,000000;532;7,338566;26,418839
-24,183207;-47,009975;21,000000;533;7,633083;27,479099
-24,183212;-47,009895;21,000000;534;8,336132;30,010075
-24,183210;-47,009815;21,000000;535;7,971724;28,698204
-24,183210;-47,009735;21,000000;536;7,969461;28,690060
-24,183214;-47,009663;22,000000;537;7,632512;27,477043
-24,183218;-47,009586;22,000000;538;7,644298;27,519472
-24,183214;-47,009514;22,000000;539;7,298500;26,274599
-24,183210;-47,009441;21,000000;540;7,286773;26,232384
-24,183205;-47,009373;22,000000;541;7,298521;26,274673
-24,183201;-47,009296;22,000000;542;7,643708;27,517347
-24,183199;-47,009212;23,000000;543;8,318282;29,945816
-24,183193;-47,009129;23,000000;544;8,681110;31,251997
-24,183189;-47,009045;23,000000;545;8,671237;31,216454
-24,183187;-47,008953;23,000000;546;9,011894;32,442818
-24,183186;-47,008862;23,000000;547;9,357979;33,688725
-24,183186;-47,008766;23,000000;548;9,702408;34,928669
-24,183187;-47,008682;23,000000;549;8,664994;31,193979
-24,183199;-47,008602;22,000000;550;8,051099;28,983955
-24,183212;-47,008526;22,000000;551;8,113562;29,208822
-24,183224;-47,008457;22,000000;552;7,057284;25,406223
-24,183233;-47,008392;22,000000;553;6,652090;23,947525
-24,183247;-47,008327;21,000000;554;6,757025;24,325289
-24,183252;-47,008263;22,000000;555;6,627666;23,859600
-24,183258;-47,008198;22,000000;556;6,607885;23,788387
-24,183264;-47,008141;22,000000;557;5,572906;20,062460
-24,183266;-47,008083;20,000000;558;5,893874;21,217947
-24,183273;-47,008026;20,000000;559;5,967517;21,483061
-24,183275;-47,007973;20,000000;560;5,201286;18,724628
-24,183275;-47,007919;20,000000;561;5,543702;19,957327
-24,183270;-47,007866;20,000000;562;5,572906;20,062460
-24,183264;-47,007801;20,000000;563;6,627644;23,859516
-24,183266;-47,007736;19,000000;564;6,586037;23,709732
-24,183266;-47,007668;19,000000;565;6,930278;24,949001
-24,183260;-47,007599;20,000000;566;6,953683;25,033258
-24,183252;-47,007538;19,000000;567;6,283327;22,619978
-24,183245;-47,007469;20,000000;568;6,995059;25,182211
-24,183241;-47,007401;20,000000;569;6,940680;24,986448
-24,183235;-47,007332;20,000000;570;6,953661;25,033180
-24,183229;-47,007259;19,000000;571;7,316414;26,339092
-24,183237;-47,007179;19,000000;572;8,370139;30,132502
-24,183243;-47,007095;19,000000;573;8,336132;30,010075
-24,183237;-47,007015;18,000000;574;8,336150;30,010141
-24,183229;-47,006931;18,000000;575;8,370139;30,132502
-24,183226;-47,006851;18,000000;576;8,324766;29,969158
-24,183228;-47,006775;19,000000;577;7,626011;27,453640
-24,183233;-47,006691;20,000000;578;8,682167;31,255802
-24,183245;-47,006615;19,000000;579;7,738698;27,859314
-24,183258;-47,006538;19,000000;580;7,772979;27,982723
-24,183275;-47,006466;18,000000;581;7,856085;28,281906
-24,183294;-47,006393;18,000000;582;7,570209;27,252752
-24,183306;-47,006329;16,000000;583;6,716265;24,178553
-24,183325;-47,006264;16,000000;584;6,906816;24,864540
-24,183344;-47,006203;16,000000;585;6,577793;23,680056
-24,183359;-47,006142;15,000000;586;6,466514;23,279449
-24,183380;-47,006077;14,000000;587;6,966639;25,079901
-24,183401;-47,006012;14,000000;588;7,031682;25,314054
-24,183428;-47,005947;15,000000;589;7,173272;25,823778
-24,183455;-47,005890;15,000000;590;6,321934;22,758963
-24,183483;-47,005825;15,000000;591;7,332399;26,396637
-24,183508;-47,005764;14,000000;592;6,781004;24,411615
-24,183531;-47,005707;14,000000;593;6,463003;23,266811
-24,183556;-47,005650;15,000000;594;6,463027;23,266895
-24,183578;-47,005592;15,000000;595;6,463003;23,266811
-24,183603;-47,005531;15,000000;596;6,463701;23,269323
-24,183628;-47,005474;15,000000;597;6,542741;23,553867
-24,183649;-47,005417;16,000000;598;6,315536;22,735931
-24,183668;-47,005371;17,000000;599;4,964467;17,872080
-24,183697;-47,005299;17,000000;600;8,278600;14,901480
-24,183704;-47,005260;17,000000;602;3,886489;13,991362
-24,183720;-47,005180;17,000000;603;8,150710;14,671278
-24,183735;-47,005135;17,000000;605;5,142877;18,514357
-24,183750;-47,005081;18,000000;606;5,470864;19,695110
-24,183767;-47,005020;18,000000;607;6,519268;23,469364
-24,183779;-47,004951;19,000000;608;7,056667;25,404001
-24,183790;-47,004883;20,000000;609;7,056028;25,401701
-24,183804;-47,004807;21,000000;610;8,079610;29,086596
-24,183817;-47,004738;22,000000;611;7,094265;25,539354
-24,183832;-47,004673;23,000000;612;6,801586;24,485710
-24,183842;-47,004608;23,000000;613;6,681173;24,052223
-24,183861;-47,004543;23,000000;614;6,907469;24,866890
-24,183880;-47,004482;24,000000;615;6,577816;23,680140
-24,183897;-47,004417;24,000000;616;6,851760;24,666338
-24,183912;-47,004349;25,000000;617;7,137985;25,696745
-24,183922;-47,004276;25,000000;618;7,365530;26,515907
-24,183935;-47,004208;26,000000;619;7,095536;25,543930
-24,183945;-47,004143;26,000000;620;6,652090;23,947525
-24,183954;-47,004070;27,000000;621;7,365551;26,515982
-24,183956;-47,003998;27,000000;622;7,279323;26,205563
-24,183962;-47,003925;28,000000;623;7,644318;27,519543
-24,183962;-47,003845;28,000000;624;7,969461;28,690060
-24,183964;-47,003773;28,000000;625;7,279323;26,205563
-24,183979;-47,003700;29,000000;626;7,812921;28,126516
-24,183998;-47,003635;30,000000;627;6,907491;24,866968
-24,184023;-47,003571;29,000000;628;7,173272;25,823778
-24,184050;-47,003498;30,000000;629;7,885873;28,389145
-24,184082;-47,003429;30,000000;630;7,812901;28,126446
-24,184124;-47,003357;32,000000;631;8,587182;30,913855
-24,184162;-47,003277;33,000000;632;9,307266;33,506157
-24,184193;-47,003193;33,000000;633;8,991858;32,370689
-24,184216;-47,003109;34,000000;634;9,061308;32,620708
-24,184225;-47,003029;35,000000;635;8,026420;28,895111
-24,184235;-47,002941;35,000000;636;9,081173;32,692223
-24,184250;-47,002853;36,000000;637;9,169634;33,010681
-24,184284;-47,002781;37,000000;638;8,208058;29,549009
-24,184320;-47,002708;37,000000;639;8,297641;29,871508
-24,184366;-47,002640;38,000000;640;8,620668;31,034407
-24,184418;-47,002571;39,000000;641;8,971795;32,298462
-24,184465;-47,002502;39,000000;642;8,735476;31,447716
-24,184515;-47,002434;40,000000;643;8,852396;31,868626
-24,184565;-47,002369;39,000000;644;8,583453;30,900431
-24,184614;-47,002308;39,000000;645;8,320973;29,955503
-24,184673;-47,002254;42,000000;646;8,655782;31,160814
-24,184734;-47,002209;42,000000;647;8,187690;29,475683
-24,184797;-47,002174;43,000000;648;7,664934;27,593763
-24,184866;-47,002163;44,000000;649;7,909281;28,473412
-24,184933;-47,002159;44,000000;650;7,415557;26,696007
-24,184990;-47,002148;45,000000;651;6,353262;22,871742
-24,185040;-47,002125;45,000000;652;6,018677;21,667236
-24,185089;-47,002094;45,000000;653;6,329775;22,787189
-24,185127;-47,002060;46,000000;654;5,575359;20,071293
-24,185162;-47,002014;46,000000;655;5,893005;21,214819
-24,185186;-47,001938;49,000000;656;8,402024;30,247288
-24,185213;-47,001862;49,000000;657;8,206391;29,543009
-24,185234;-47,001793;51,000000;658;7,295493;26,263775
-24,185263;-47,001740;52,000000;659;6,416114;23,098011
-24,185286;-47,001686;53,000000;660;5,755229;20,718822
-24,185318;-47,001652;53,000000;661;5,002437;18,008772
-24,185358;-47,001621;52,000000;662;5,522542;19,881153
-24,185417;-47,001595;52,000000;663;7,027192;25,297892
-24,185476;-47,001568;53,000000;664;7,202127;25,927658
-24,185535;-47,001541;53,000000;665;7,202733;25,929838
-24,185587;-47,001522;53,000000;666;5,955416;21,439497
-24,185640;-47,001530;53,000000;667;5,928857;21,343887
-24,185698;-47,001537;54,000000;668;6,494345;23,379641
